draft_id,draft_Player,draft_All_NBA,draft_All_Star,draft_Draft_Yr,draft_Pk,draft_Team,draft_College,draft_Yrs,draft_Games,draft_Minutes_Played,draft_PTS,draft_TRB,draft_AST,draft_FG_Percentage,draft_TP_Percentage,draft_FT_Percentage,draft_Minutes_per_Game,draft_Points_per_Game,draft_TRB_per_game,draft_Assits_per_Game,draft_Win_Share,draft_WS_per_game,draft_BPM,draft_VORP,draft_Executive,draft_Tenure,draft_Exec_ID,draft_Exec_draft_exp,draft_attend_college,draft_first_year,draft_second_year,draft_third_year,draft_fourth_year,draft_fifth_year
1871,Stanley Johnson,0,0,2015,8,DET,University of Arizona,1,73,1687,593,306,118,0.375,0.307,0.784,23.1,8.1,4.2,1.6,0.6,0.018,-2.6,-0.2,Jeff Bower,849 days 00:00:00.000000000,74,7,1,1,0,0,0,0
1872,Darrun Hilliard,0,0,2015,38,DET,Villanova University,1,38,383,152,45,27,0.397,0.38,0.725,10.1,4,1.2,0.7,0.5,0.066,-3.6,-0.2,Jeff Bower,849 days 00:00:00.000000000,74,7,1,1,0,0,0,0
2372,Rashad Vaughn,0,0,2015,17,MIL,University of Nevada Las Vegas,1,70,1001,217,88,39,0.305,0.293,0.8,14.3,3.1,1.3,0.6,-0.8,-0.036,-6.1,-1,John Hammond,3094 days 00:00:00.000000000,88,8,1,1,0,0,0,0
2373,Norman Powell,0,0,2015,46,MIL,University of California Los Angeles,1,49,725,273,111,47,0.424,0.404,0.811,14.8,5.6,2.3,1,1.6,0.105,-0.4,0.3,John Hammond,3094 days 00:00:00.000000000,88,8,1,1,0,0,0,0
2547,Myles Turner,0,0,2015,11,IND,University of Texas at Austin,1,60,1367,619,332,41,0.498,0.214,0.727,22.8,10.3,5.5,0.7,3.1,0.109,-2.3,-0.1,Larry Bird,1191 days 00:00:00.000000000,100,9,1,1,0,0,0,0
2548,Joseph Young,0,0,2015,43,IND,University of Oregon,1,41,384,154,50,65,0.367,0.217,0.8,9.4,3.8,1.2,1.6,-0.1,-0.009,-5.4,-0.3,Larry Bird,1191 days 00:00:00.000000000,100,9,1,1,0,0,0,0
2672,Delon Wright,0,0,2015,20,TOR,University of Utah,1,27,229,103,37,31,0.45,0.385,0.743,8.5,3.8,1.4,1.1,0.6,0.124,-0.7,0.1,Masai Ujiri,1218 days 00:00:00.000000000,110,4,1,1,0,0,0,0
2698,Kelly Oubre,0,0,2015,15,ATL,University of Kansas,1,63,671,236,133,13,0.427,0.316,0.633,10.7,3.7,2.1,0.2,0.4,0.031,-5.8,-0.7,Mike Budenholzer,749 days 00:00:00.000000000,113,1,1,1,0,0,0,0
2699,Marcus Eriksson,0,0,2015,50,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mike Budenholzer,749 days 00:00:00.000000000,113,1,0,1,0,0,0,0
2700,Dimitrios Agravanis,0,0,2015,59,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mike Budenholzer,749 days 00:00:00.000000000,113,1,0,1,0,0,0,0
2750,D'Angelo Russell,0,0,2015,2,LAL,Ohio State University,1,80,2259,1054,274,266,0.41,0.351,0.737,28.2,13.2,3.4,3.3,0,0.001,-1.8,0.1,Mitch Kupchak,5898 days 00:00:00.000000000,117,14,1,1,0,0,0,0
2751,Larry Nance Jr.,0,0,2015,27,LAL,University of Wyoming,1,63,1266,349,312,44,0.527,0.1,0.681,20.1,5.5,5,0.7,2.2,0.083,-1.4,0.2,Mitch Kupchak,5898 days 00:00:00.000000000,117,14,1,1,0,0,0,0
2752,Anthony Brown,0,0,2015,34,LAL,Stanford University,1,29,599,115,70,19,0.31,0.286,0.85,20.7,4,2.4,0.7,-0.3,-0.024,-5,-0.5,Mitch Kupchak,5898 days 00:00:00.000000000,117,14,1,1,0,0,0,0
2765,Rondae Hollis-Jefferson,0,0,2015,23,POR,University of Arizona,1,29,615,167,154,43,0.457,0.286,0.712,21.2,5.8,5.3,1.5,1.2,0.094,1.2,0.5,Neil Olshey,1579 days 00:00:00.000000000,118,5,1,1,0,0,0,0
2910,Justise Winslow,0,0,2015,10,MIA,Duke University,1,78,2232,502,403,117,0.422,0.276,0.684,28.6,6.4,5.2,1.5,2.5,0.054,-0.6,0.8,Pat Riley,2923 days 00:00:00.000000000,122,6,1,1,0,0,0,0
2911,Josh Richardson,0,0,2015,40,MIA,University of Tennessee,1,52,1107,341,107,73,0.452,0.461,0.667,21.3,6.6,2.1,1.4,2.5,0.109,0.6,0.7,Pat Riley,2923 days 00:00:00.000000000,122,6,1,1,0,0,0,0
3099,Kristaps Porzingis,0,0,2015,4,NYK,0,1,72,2047,1028,526,93,0.421,0.333,0.838,28.4,14.3,7.3,1.3,4.3,0.102,0.1,1.1,Phil Jackson,927 days 00:00:00.000000000,128,2,0,1,0,0,0,0
3125,Nikola Milutinov,0,0,2015,26,SAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R.C. Buford,5205 days 00:00:00.000000000,129,13,0,1,0,0,0,0
3126,Cady Lalanne,0,0,2015,55,SAS,University of Massachusetts Amherst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R.C. Buford,5205 days 00:00:00.000000000,129,13,1,1,0,0,0,0
3326,Frank Kaminsky,0,0,2015,9,CHA,University of Wisconsin,1,81,1708,606,335,98,0.41,0.337,0.73,21.1,7.5,4.1,1.2,3.3,0.093,-1.2,0.3,Rich Cho,1935 days 00:00:00.000000000,133,4,1,1,0,0,0,0
3327,Juan Pablo Vaulet,0,0,2015,39,CHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rich Cho,1935 days 00:00:00.000000000,133,4,0,1,0,0,0,0
3370,Mario Hezonja,0,0,2015,5,ORL,0,1,79,1413,478,176,109,0.433,0.349,0.907,17.9,6.1,2.2,1.4,0.9,0.029,-2.8,-0.3,Rob Hennigan,1563 days 00:00:00.000000000,137,4,0,1,0,0,0,0
3371,Tyler Harvey,0,0,2015,51,ORL,Eastern Washington University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rob Hennigan,1563 days 00:00:00.000000000,137,4,1,1,0,0,0,0
3547,Devin Booker,0,0,2015,13,PHO,University of Kentucky,1,76,2108,1048,187,200,0.423,0.343,0.84,27.7,13.8,2.5,2.6,1.9,0.043,-3.1,-0.6,Ryan McDonough,1242 days 00:00:00.000000000,143,3,1,1,0,0,0,0
3548,Andrew Harrison,0,0,2015,44,PHO,University of Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ryan McDonough,1242 days 00:00:00.000000000,143,3,1,1,0,0,0,0
3559,Jahlil Okafor,0,0,2015,3,PHI,Duke University,1,53,1591,928,373,65,0.508,0.167,0.686,30,17.5,7,1.2,1.2,0.037,-4.1,-0.8,Sam Hinkie,1058 days 00:00:00.000000000,144,3,1,1,0,0,0,0
3560,Willy Hernangomez,0,0,2015,35,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam Hinkie,1058 days 00:00:00.000000000,144,3,0,1,0,0,0,0
3561,Richaun Holmes,0,0,2015,37,PHI,Bowling Green State University,1,51,702,287,135,33,0.514,0.182,0.689,13.8,5.6,2.6,0.6,1.5,0.103,-0.9,0.2,Sam Hinkie,1058 days 00:00:00.000000000,144,3,1,1,0,0,0,0
3562,Arturas Gudaitis,0,0,2015,47,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam Hinkie,1058 days 00:00:00.000000000,144,3,0,1,0,0,0,0
3563,J.P. Tokoto,0,0,2015,58,PHI,University of North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam Hinkie,1058 days 00:00:00.000000000,144,3,1,1,0,0,0,0
3564,Luka Mitrovic,0,0,2015,60,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam Hinkie,1058 days 00:00:00.000000000,144,3,0,1,0,0,0,0
3587,Cameron Payne,0,0,2015,14,OKC,Murray State University,1,57,698,283,85,108,0.41,0.324,0.792,12.2,5,1.5,1.9,1.4,0.093,-1.3,0.1,Sam Presti,3403 days 00:00:00.000000000,145,9,1,1,0,0,0,0
3588,Dakari Johnson,0,0,2015,48,OKC,University of Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam Presti,3403 days 00:00:00.000000000,145,9,1,1,0,0,0,0
3820,Emmanuel Mudiay,0,0,2015,7,DEN,0,1,68,2068,872,232,372,0.364,0.319,0.67,30.4,12.8,3.4,5.5,-2.1,-0.049,-4.3,-1.2,Tim Connelly,1201 days 00:00:00.000000000,154,3,0,1,0,0,0,0
3821,Nikola Radicevic,0,0,2015,57,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tim Connelly,1201 days 00:00:00.000000000,154,3,0,1,0,0,0,0
3852,Willie Cauley-Stein,0,0,2015,6,SAC,University of Kentucky,1,66,1412,463,352,37,0.563,0,0.648,21.4,7,5.3,0.6,3.8,0.13,0.7,1,Vlade Divac,577 days 00:00:00.000000000,157,1,1,1,0,0,0,0
