nba_Year,nba_Tm,nba_Player,nba_Age,nba_G,nba_MP,nba_PER,nba_TS%,nba_3PAr,nba_FTr,nba_ORB%,nba_DRB%,nba_TRB%,nba_AST%,nba_STL%,nba_BLK%,nba_TOV%,nba_USG%,nba_OWS,nba_DWS,nba_WS,nba_WS/48,nba_OBPM,nba_DBPM,nba_BPM,nba_VORP,nba_OWS/48,nba_DWS/48,nba_Shot%,nba_Player ID,nba_Team Mar,nba_Team MP,nba_Team Gm,nba_Year 3PAr,nba_Team TS%,nba_Tm USG,nba_Tm TS W/O Plyr,nba_Reb/Vers,nba_Defense,nba_Val/Shot,nba_Offense,nba_MPG + Int,nba_RAW SPM,nba_%Min,nba_RAW Contrib,nba_Tm Sum,nba_Tm Adj,nba_BPM,nba_StdErr,nba_Contrib,nba_VORP,nba_Reb/Vers,nba_Val/Shot,nba_Offense,nba_Defense,nba_MPG,nba_Raw OBPM,nba_Contrib,nba_Tm Ortg,nba_Tm Sum,nba_Tm Adj,nba_Tm DRtg,nba_OBPM,nba_OStdErr,nba_Ocontrib,nba_OVORP,nba_DBPM,nba_DStdErr,nba_Dcontrib,nba_DVORP,nba_Sum SPM,nba_%Min,nba_MPG,nba_ReMPG,nba_BPM,nba_Contrib,nba_VORP,nba_VORP-Gm,nba_O-BPM,nba_Ocontrib,nba_OVORP,nba_OVORP-Gm,nba_D-BPM,nba_Dcontrib,nba_DVORP,nba_DVORP-Gm,nba_Production,nba_Prod-Gm,nba_Exp BPM,nba_TrueTalentBPM,nba_Exp%Min,nba_TrueTalentVORP,nba_TrueSalary,nba_TrueTimeVORP,nba_Adjusted Production,nba_WORP,nba_O-WORP,nba_D-WORP,nba_Adjusted WORP,nba_Estimated Position,nba_BBRef Pos,nba_Age on Feb 1,nba_Yrs Experience,nba_Height,nba_Weight,nba_Rounded Position,nba_Rounded Age
2016,POR,C.J. McCollum,24,8,276,19,0.561,0.343,0.143,2.4,10.4,6.5,15.6,1.1,0.3,9.7,26.1,0.7,0.1,0.8,0.138,3.8,-3,0.8,0.2,0.121,0.017,23.6,#NAME?,2.08,1921,8,0.275,0.552,32831,0.55,0.02,-1.4,0.09,0.68,0.81,0.1,0.718,0.07,-0.87,0.67,0.8,3.1,0.6,2,-0.1,0.4,2.1,-0.1,0.4,2.7,1.9,3.5,1.8,0.5,-2.4,3.1,2.1,2.2,3.5,-2.4,2.3,-1.7,-1.5,5.5,0.7,34.5,23,0.8,0.6,2,2,3.1,2.2,3.5,3.5,-2.4,-1.7,-1.5,-1.5,9000000,9000000,-0.4,0,0.51,1,5100000,1.4,6700000,5.4,9.4,-4,3.8,1.7,2,24.37,2,76,200,2,24
2016,DET,Marcus Morris,26,7,272,15.5,0.513,0.253,0.343,5.5,12,8.6,8.9,1.7,0.6,10.2,19.8,0.4,0.4,0.8,0.145,1.9,1.4,3.3,0.4,0.073,0.073,17.8,#NAME?,7.59,1704,7,0.275,0.5,29418,0.497,-0.81,-0.49,-0.04,1.17,1.02,0.88,0.798,0.7,-2.74,2.37,3.2,3.1,2.6,4.2,0.1,0.3,0.5,0.1,0.5,1.5,1.2,-0.9,1.2,-0.5,3.9,1,2.1,0.8,2.2,2.2,2.3,1.8,2,-1.2,0.8,38.9,24.7,3.2,2.6,4.2,4.2,1,0.8,2.2,2.2,2.2,1.8,2,2,17900000,17900000,0.8,1.6,0.73,2.6,11600000,3.8,16300000,11.3,5.8,5.5,10.3,3.5,3,26.42,4,81,235,3,26
2016,GSW,Stephen Curry,27,8,270,37.4,0.71,0.547,0.333,2.5,13.7,8.4,30.6,3.3,0.5,11.2,31.7,1.9,0.6,2.5,0.446,14.9,1.1,16,1.2,0.339,0.107,28.1,#NAME?,14.55,1921,8,0.275,0.571,33493,0.531,3.86,1.47,0.75,8.53,0.74,14.6,0.703,10.26,10.63,1.37,16,3.1,11.2,12.6,1,0.9,12,0.6,0.4,14.9,10.4,10.7,8.7,0.8,6.9,15.7,2.1,11,12.2,0.3,2.3,0.2,0.4,15.4,0.7,33.8,22.5,16,11.2,12.6,12.6,15.7,11,12.2,12.2,0.3,0.2,0.4,0.4,51800000,51800000,1.3,6.3,0.73,6,25300000,13,53400000,34.1,33,1.1,35.2,1.1,1,27.89,6,75,185,1,28
2016,HOU,Ty Lawson,28,7,270,9.5,0.468,0.353,0.441,2,9.9,5.9,22.7,1.6,0.3,19.8,16,0,0,0,-0.001,-1.8,-1.4,-3.2,-0.1,-0.001,-0.001,12.8,#NAME?,-2.83,1707,7,0.275,0.529,29000,0.537,1.14,-0.78,0.06,-3.13,1,-1.77,0.791,-1.4,3.91,-1.46,-3.2,3.1,-2.6,-1,0.2,0.3,-2.3,0.1,0.5,-1.2,-1,-0.2,3.9,-0.8,-5.4,-2.1,2.1,-1.6,-0.3,-1.2,2.3,-0.9,-0.7,-0.9,0.8,38.6,24.5,-3.2,-2.6,-1,-1,-2.1,-1.6,-0.3,-0.3,-1.2,-0.9,-0.7,-0.7,-2900000,-2900000,-0.8,-1.6,0.27,0.1,1400000,-0.3,-400000,-2.6,-0.8,-1.9,-0.9,1,1,28.25,6,71,195,1,28
2016,GSW,Draymond Green,25,8,268,15.9,0.519,0.377,0.26,6.2,17.9,12.3,24.3,1.8,2.1,17.3,16.1,0.5,0.5,1,0.187,0.9,3.5,4.4,0.4,0.094,0.094,13.3,#NAME?,14.55,1921,8,0.275,0.571,33493,0.578,4.58,0.43,0.11,-2.72,0.72,3.02,0.698,2.1,10.63,1.37,4.4,3.1,3.1,4.5,1.6,0.3,-1.5,0,0.4,0.8,0.6,10.7,8.7,0.8,6.9,1.7,2.1,1.2,2.3,2.7,2.3,1.9,2.1,-1.1,0.7,33.5,22.3,4.4,3.1,4.5,4.5,1.7,1.2,2.3,2.3,2.7,1.9,2.1,2.1,18900000,18900000,1.3,2.3,0.73,3.1,13600000,4.6,19600000,12,6.3,5.7,12.5,2.9,4,25.91,3,79,230,3,26
2016,POR,Al-Farouq Aminu,25,8,267,13,0.534,0.376,0.306,4.1,22,13.2,8.3,0.9,1.7,15.7,18.7,0.2,0.2,0.4,0.075,-0.5,-0.3,-0.8,0.1,0.038,0.038,15.8,#NAME?,2.08,1921,8,0.275,0.552,32831,0.555,-1.25,-0.91,-0.08,0.02,0.71,-1.42,0.695,-0.99,-0.87,0.67,-0.7,3.1,-0.5,0.9,-0.9,0.2,-1,-0.3,0.4,-1.6,-1.1,3.5,1.8,0.5,-2.4,-1.1,2.1,-0.8,0.4,0.4,2.3,0.3,0.5,-1.5,0.7,33.4,22.3,-0.7,-0.5,0.9,0.9,-1.1,-0.8,0.4,0.4,0.4,0.3,0.5,0.5,4500000,4500000,-0.5,-0.6,0.42,0.6,3300000,0.5,3100000,2.4,1.1,1.3,1.4,3.6,3,25.36,5,81,215,4,25
2016,DET,Kentavious Caldwell-Pope,22,7,266,14,0.545,0.368,0.218,1.5,9.7,5.4,6.6,2.1,0.6,9.5,16.8,0.5,0.4,0.8,0.15,1.8,1.6,3.4,0.4,0.084,0.066,15.2,#NAME?,7.59,1704,7,0.275,0.5,29418,0.492,-2.96,0.01,0.03,3.06,0.95,1.07,0.781,0.83,-2.74,2.37,3.4,3.1,2.7,4.2,-1.2,0.4,1.6,0.2,0.5,1.4,1.1,-0.9,1.2,-0.5,3.9,1,2.1,0.8,2.1,2.5,2.3,1.9,2.2,-1.5,0.8,38,24.2,3.4,2.7,4.2,4.2,1,0.8,2.1,2.1,2.5,1.9,2.2,2.2,18100000,18100000,0.7,1.6,0.73,2.6,11500000,3.9,16900000,11.5,5.6,5.8,10.6,2.1,2,22.95,2,77,205,2,23
2016,IND,Monta Ellis,30,8,264,9,0.41,0.225,0.147,1.2,10,5.5,24.4,2.3,0.6,16.2,21.8,-0.4,0.3,-0.1,-0.017,-3,-0.3,-3.3,-0.1,-0.072,0.055,18.3,#NAME?,2.07,1919,8,0.275,0.511,32899,0.528,1.03,0.26,-0.05,-5.15,0.68,-3.17,0.688,-2.18,3.15,-0.13,-3.3,3.1,-2.3,-0.9,0,0.1,-3.4,0.3,0.4,-2.6,-1.8,-3.4,2.4,-1.3,2.1,-3.9,2.1,-2.7,-1.5,0.6,2.3,0.4,0.6,-4.5,0.7,33,22,-3.3,-2.3,-0.9,-0.9,-3.9,-2.7,-1.5,-1.5,0.6,0.4,0.6,0.6,-2600000,-2600000,-0.6,-1.5,0.29,0.1,1600000,-0.4,-500000,-2.4,-4.1,1.6,-1,1,2,30.27,10,75,185,1,30
2016,DET,Andre Drummond,22,7,262,26.8,0.52,0,0.505,18.3,38.2,27.7,4.1,2.5,4,11.5,23.9,0.5,0.7,1.2,0.227,0.6,2.9,3.5,0.4,0.095,0.132,21.2,#NAME?,7.59,1704,7,0.275,0.5,29418,0.495,-1.86,2.32,-0.18,-0.21,0.91,1.15,0.769,0.89,-2.74,2.37,3.5,3.1,2.7,4.2,0.4,0.2,-1,0.2,0.5,0.2,0.2,-0.9,1.2,-0.5,3.9,-0.2,2.1,-0.2,1.1,3.8,2.3,2.9,3.1,-4,0.8,37.4,23.8,3.5,2.7,4.2,4.2,-0.2,-0.2,1.1,1.1,3.8,2.9,3.1,3.1,18100000,18100000,0.6,1.6,0.73,2.6,11400000,4,17100000,11.5,3,8.4,10.8,5,5,22.48,3,83,279,5,23
2016,OKC,Kevin Durant,27,7,261,29.2,0.628,0.31,0.359,0.9,18.8,10.1,12.9,1.1,2.8,8.7,29.5,1.4,0.2,1.6,0.288,6.8,-2.5,4.3,0.4,0.254,0.034,26.9,#NAME?,6.53,1729,7,0.275,0.568,29240,0.549,-0.46,-0.07,0.18,3.26,0.9,3.62,0.755,2.73,4.41,0.68,4.3,3.1,3.2,4.8,-1,0.5,4.9,-0.3,0.5,4.6,3.5,8.1,1.8,1.6,-2.7,6.2,2.1,4.7,5.9,-1.9,2.3,-1.4,-1.2,8,0.8,37.3,23.7,4.3,3.2,4.8,4.8,6.2,4.7,5.9,5.9,-1.9,-1.4,-1.2,-1.2,20100000,20100000,0.4,1.7,0.73,2.7,11900000,4.6,19400000,12.8,16,-3.2,12.3,3.6,3,27.34,8,81,240,4,27
